,menu
169,Beef Bhuna
170,Vegetable Masala (Lunch)
171,Murgh Tikka Saag
172,Subz Panchmeal Large
173,Saag Paneer Small
174,Tandoor A Noor
175,Sev-Khamani
176,OLD CITY VEG DUM BIRYANI
177,Mix-Veg Gongura Curry
178,Lamb Korma Large
179,Chana Paneer Masala
180,Paneer Masakali
181,Beef Nehari
182,Mozzarella Sticks
183,Non-Veg Mixed Appetizers
184,Indian Salad
185,Catering Chicken Biryani
186,Red Wine Bottle
187,Seafood Jalfrezi
188,Aloo Paratha
189,Egg Schezwan Fried Rice
190,Mirchi Bajji
191,Mango Drink
192,Pork Chilli
193,Gobhi Munchrian
194,Idly
195,Fish Chettinad
196,Dinner For Two (Veg)
197,Naan Apricot Date
198,Tandoori Shrimp Kebab
199,Papadum ( 50 pc )
200,Bheemas Special Goat Roast
201,Vegetable Pakora (Vegan) (5 Pieces)
202,Andhra Kara Masala Dosa
203,Ras Malai
204,Moong Daal Halwa ( Desi Ghee )
205,Lamb Rogan Josh Lunch
206,Brown Rice & Red Quinoa
207,Sambar Vada (Dipped In Sambar)
208,Joti Special Bread Basket
209,Lamb Sukuti
210,Vegetarian Samosa (50 Pieces)
211,Salmon Makhani
212,Poori (Vegan)
213,Fish Manchuria Gravy
214,Peas Pulao Small
215,Schezwan Dosa
216,Tabahi Naan
217,Methi Poori
218,Rasmalai (4Pcs)
219,Chicken Do Piaza Medium
220,Tandoori Shrimp Masala
221,Pani Poori's Poori Extra 10pcs
222,Chai Samosa Combo
223,Onion Kulcha Small
224,Lamb Gosht Dum Biryani
225,Special Goat Roast
226,Broccoli Naan
227,22. Chicken Gyro
228,CHANA KULCHA LUNCH
229,THE TANDOORI
230,Vegetarian Dinner
231,Chicken Malai Kabab
232,SNICKERDOODLE COOKIE
233,Mattar Paneer Lunch
234,Szechuan Style Fried Rice
235,4. Chicken + Meat Combo Platter
236,Chettinad Egg Curry
237,Dal Makhani Small
238,Shrimp Korma Large
239,Chef Special Biryani
240,Tofu Do Piaza
241,Catering Kadhai Chicken
242,Chicken Manchuria Dry
243,Pulao Natukodi
244,Veg Palak
245,Shrimp Tandoori
246,Bhindi Masala
247,Sweet And Sour Fish
248,BBQ Chicken
249,Rajma Masala 80z
250,Chicken Vindaloo (North Indian Style)
251,Chapathi Medium
252,Vegetable Dum Biryani
253,Aloo Tikki (Vegan) (4 Pieces)
254,Mustard Lamb (2 Pcs)
255,Papadam
256,Cranberry Fruit Juice
257,Masala Tea (Tea)
258,"Graham's ""Six Grapes"" Ruby"
259,Sweet And Sour Chicken
260,Still Water
261,Vegetable Uttappam
262,Lamb Sh Kb Half Pan
263,Mutton Sukka
264,Curbside (Add To Cart For Curbside Pickup)
265,Ghobi Manchurian
266,Mango Lassi 50
267,Wine Bottle
268,Catering Vegetable Biryani
269,Baingan Mirch Salan Small
270,Navaratan Korma
271,Vegetable Jalfrazi
272,Chili Paneer (Main)
273,Dahi Vada/Bhalla
274,Dahi Bhala
275,Catering Special Mix Grill
276,Mango Lassi (One Gallon For Takeout Only)
277,Chana Masala (V)
278,Bread Pakora
279,Taaba Aloo Tikki Chaat
280,Longsqas(Dudhi) Halva . 9pc
281,5 Panner Pakoras
282,Chapati (2)
283,Stuffed Bread Basket
284,Tanjore Salad
285,Chicken Kabab
286,Meat Lovers Pizza
287,Saag Paneer ( Large Tray )
288,Keema Naan Medium
289,Daal Makhani
290,28.Goat Curry
291,Aloo Papri Chat
292,Chicken Lahori Kofta
293,Soda / Juice
294,Lasooni Dal Fry
295,Spicy Dasa
296,DESI BAO BUN
297,Lamb Curry Meal
298,Mutton Biryani
299,Paneer Bhurji
300,Catering Lamb Kebab
301,Mela Goat
302,Kadhai Paneeer
303,Pottalam Biryani-Chicken
304,Sambar Rice Chicken
305,Shrimp Malai Curry
306,Nachos sm/ lg 3.99 more
307,Shrimp Moilee
308,Kathmandu Spice
309,Lamb Coconut Curry
310,Meat Platter
311,CHICKEN BIRYANI
312,Mango Chicken Curry
313,Paneer Makhani
314,CHOLE-PULAV
315,Truffle & Mushroom Naan
316,Dal Punjabi
317,Chicken Thali Set
318,Jhinga Chat
319,49. Special 12 Skewers
320,Pepper Fry
321,27. Chicken Tikka Masala
322,GARDEN SALAD MEDIUM
323,Mixed Fried Rice
324,Aloo Rajma
325,Baingan Bartha
326,Chana Masala.
327,Chicken Tikka Masala Roll
328,Falooda Ice Cream
329,Garlic Gobhi
330,Shrimp Do-Paizza
331,Catering Tarka Dal
332,Espresso
333,Chicken Masala Dosa
334,Dryfruit Shake
335,SAN PELLEGRINO ORANGE AND POMEGRANATE
336,Zeera Rice
337,Nellore Chepala Pulusu (South Indian Fish Curry)
338,GOSHT ROGANJOSH
339,House Special
340,Tofu Bhurji Curry
341,Veg - Tiffin Box For One - ??? ????? ?????
342,Chili Wings
343,Scallops Balti
344,Steam Idli
345,SAAG GOSHT
346,Dal Curry Of The Day
347,Lamb Bhuna
348,Aloo Gobi (MT)
349,Corn Palak
350,Paneer Saag
351,Aloo Bhindi Small
352,Non Veg Thali
353,Idli
354,DAHI BHALLA LUNCH TOGO
355,Goat Roast (APT)
356,BASIL PANEER TIKKA
357,Chicken Jalfrazi
358,Beef Burger
359,Tandoori Chicken Tikka
360,Veg Thali
361,Masala Souce
362,Tandoori Tikka Dal
363,Lunch Box- Non Veg Combo
364,Tofu Bhurgi
365,Choco Mousse Cake
366,Indo Chinese Egg Fried Rice
367,Soul Of India Biryani
368,Chicken Dhania
369,Makki Ki Roti
370,Paneer Kashmiri
371,Vegetable Samosas (2)
372,Chicken 65 Special Dosa
373,Lunch Chicken DoPiaza
374,Chicken Chana
375,Nimboo Masala Soda
376,Achar - (Pickle) (Lunch)
377,Chicken Tikka Masala ( Small Tray )
378,Veg Uttapam
379,Naan
380,Ragda-Pattis
381,Onion Dosa
382,Veg Biryani Small
383,Chicken Mushroom (Lunch)
384,Courvosier
385,Chicken Tikka Masala Catering
386,Veggie Delight Pizza
387,Chefs Kb Sampler 6 Portion
388,Chicken Hydrabadi
389,Lunch Goat Curry (With Bone)
390,Shrimp Tiki Masala
391,Lamb Mushroom Masala
392,Lachha Paratha
393,Vegetable Combo
394,Pooris
395,Assorted Soda
396,Veggie Pakora
397,Vegetable Madras Curry
398,Gongura Onion Chilli Bajji
399,Kasmiri Naan
400,Haleem (Goat)
401,GUEST SIZE -(2)
402,Shrimp Korma Catering
403,Salt Lassi Small
404,Extra Fried Noodles On A Side
405,Mixed Vegetables Medium
406,Paan
407,G Jamun 50 Pcs
408,Special Curry Platter
409,Mix Meat Curry (Lunch)
410,Lunazul Blanco
411,Beef Curry ( Small Tray )
412,Ajiwani Parantha
413,Fish Palak
414,BUFFALO CHICKEN GRILLED CHEESE
415,Bhel Poori
416,Goat Biryani Small
417,Goat Korma
418,Dhaba Egg Masala
419,"Guntur ""Karam"" Dosa"
420,"""Tawa"" Prawns (Grilled Shrimp)"
421,Vegetable Biryani (Vegan)
422,Baigan Bhartha
423,Paneer Chatt
424,Veg. Manchow Soup
425,Shrimp Handi
426,Chilli Paneer
427,Chilli MOMO
428,Chicken Chole Butter Masala
429,Small Chicken Tenders
430,Gulab Jamun (3pc)
431,Paneer Do Pyaza
432,Madras Fried Shrimp
433,Telangana Goat Curry
434,Catering 2-Liter Soda
435,Chicken Chilli Momo
436,Burrito
437,ROTI LUNCH
438,Vegetable Cheese
439,Fresh Garden Salad
440,Tarka Dal
441,Shrimp Chilli
442,Vegetable Samosa (Vegan)
443,Nirvana Water
444,Chili Gobi Gravy
445,Lamb Saag Medium
446,Kerela Fish Curry Small
447,Aloo Gobi Roll
448,Chilly Shrimp (APT)
449,Potato Pakora 6pcs
450,Chicken Curry Platter
451,48. Special 9 Skewers
452,Limca
453,Bhindi Platter
454,Aloo Paratha Large
455,Papad
456,Chicken Shahi Korma
457,Lunch Paneer Masala
458,Charminar Ka Murg
459,Chicken Saag Catering
460,Saag Aloo
461,Monagadi Fry
462,Chicken Hakka Noodles
463,Vegan Chana Masala
464,Lamb Sali Boti
465,Chicken Momo (8 Pcs.)
466,Lamb Korma Meal
467,Chicken Hyderabadi
468,CHOCOLATE MOUSSE CUP
469,Dhai Ke Tikki
470,1947 Special Veg Uthappam
471,SAAG PANEER
472,Gongura Goat Biryani
473,Mixed Vegetables Small
474,BARRAH KABOB
475,Kaali Daal
476,Aloo Tikki Chaat
477,Chicken (65) (APT)
478,Shrimp Biryani Medium
479,Tandoori Momo
480,Shrimp Palak
481,Goat Biryani Catering
482,Meat Plate
483,Aloo Tiki Chat
484,Set of chutney
485,Dinner For One Non-Veg
486,Aloo Gobi ( Small Tray )
487,Shahi Aloo Gobhi
488,Ck Tikka Masala Sauce
489,Subz Panchmeal Medium
490,Chicken Chowmein
491,Kara Dosa
492,Onion Chutney (8 Oz.)
493,Chapati (2pcs)
494,Chicken Korma Platter
495,Gongura Dal/Spinach Dal
496,Chicken Curry Meal
497,Extra Dosa Masala
498,KACHUMBER SALAD
499,Murgh Biryani
500,Coconut Curried Chicken
501,Lamb Vindaloo Small
502,Tamarind Chutney (8 Oz)
503,Mango Lassi 2 Gal
504,Gazar Ka Halwa
505,Mango Pudding
506,Puff (Aloo Masala)
507,Potato And Garlic Soup
508,Paneer Kadai
509,Chili Cheese Naan
510,Beef/Lamb/Goat Korma
511,Prawns Biryani (Special Shrimp)
512,Chicken Momos
513,Chicken Pakoda
514,Chicken Haleem Platter
515,Desi Burrito ( Gluten )
516,Goat Tiki Masala
517,Papri Chaat
518,Merlot Glass
519,Pista Coconut Naan
520,"""1947"" Kadai Paneer (Avakaya/Gongura)"
521,Nirvana Vegetarian Platter
522,Vegetable Khadai
523,"Naan ( Dairy, Egg, Gluten )"
524,Aloo Saag
525,Spiced Lamb Sausage From Lucknow
526,Catering Shrimp Vindaloo
527,Chicken Saag
528,Saffron Basmati Rice (Large Tray)
529,Mango Chicken Small
530,Chicken Hariyali Kebab
531,Sev Puri
532,Goat Saag (Bone In)
533,Indo Chinese Chicken Fried Rice
534,AW SH*T SEASONING
535,Wada Sambar
536,Masala Thumbs Up
537,Gongura Lamb Biryani
538,Mango Cheesecake
539,House Vegetable Platter
540,Non-Veggie Tiffin Box
541,Bhaji Pav Tray Half
542,Mango Chicken Medium
543,Vegetable Soup
544,Catering Chicken Vindaloo
545,8 Oz. String Beans (Bodi)
546,Idli Sambar (3 Pcs) (Idly Dipped In Sambar
547,Nirvana Biryani Large
548,Bottle Drinks
549,Pappadam
550,LAAL MAAS
551,Bottle of Water
552,Chicken Mushroom Masala
553,MUMBIACHI GRILLED SANDWICH LUNCH
554,59. Chicken Nuggets (10 pcs)
555,Veg. Spring Roll
556,MURGH TIKKA MASALA
557,Coriander And Chili Naan
558,Berry Blast
559,Delhiwala Butter Chicken
560,Catering Vegetable Samosa (Party)
561,Ghee Roast
562,Goat Coconut
563,CHAPATI
564,Plain Uttappam
565,Perrier
566,Chicken Naan Bread
567,Grilled Shrimp Salad
568,Vegetarian Thali For Two
569,Shrimp T Masala
570,Dal Chicken
571,Punjabi Chole Masala
572,Tofu Saag Medium
573,20 Oz. Soda Bottle
574,Lunch Aloo Mutter
575,Aloo Bhindi Medium
576,Fish Karahi
577,Kachori Khasta
578,Joti Non-Vegetarian Platter
579,Chicken Curry (Rice Plate)
580,Tandoori Seafood Masala - House Special
581,Tarka Dal (Lunch)
582,Chicken Haleem
583,Chilli Bajji (4 Pieces)
584,Palak Channa Tikki
585,Bread Pakora 2pc
586,"""M&M"" Uthappam"
587,Catering Kali Mirchi Tikka (Party)
588,House Special Biryani
589,Beef Kabab
590,Plain Bread
591,Beef Bhaditraka
592,Saag Chana
593,Southern Specialty Dinner
594,Chicken Chilly
595,Tandoori Tikka - Lamb
596,Goat Curry Punjabi
597,Paneer Tikka Kebab
598,ZUZU House Special Biryani
599,Tava Pulav
600,Coconut Ice Cream
601,Beef Seekh Kabab Wrap
602,Mysore Bonda (5)
603,Chicken Pakora (Lunch)
604,Kheer(Rice Pudding)
605,Fresh Coconut Mouxsse
606,Vijayawada Chicken B/L Pulav
607,Plain Saag
608,Bhatoora Basket
609,Tikka Pizza
610,SNAPPLE WATERMELON LEMONADE
611,Tamarind Scallops
612,Chicken Roast
613,Egg Tikka Masala
614,Desi Loaded Fries ( Dairy )
615,Vegetable Jalfrezi (Vegan)
616,CHOCOLATE MILKSHAKE
617,Mix Veg Pakora
618,Salt Lassi Medium
619,Combo Dinner for Four
620,Chicken Shahensha
621,Bihari Kabab
622,Tandoori Pomfret (DOA)
623,Chicken Chettinad
624,Passage Mixed Appetizers
625,Black Pepper Chicken
626,Amritsari Choley
627,Paneer And Spinach Momo
628,Chicken Wings (8 Pc)
629,Mutter Pulao
630,Spinach Salad
631,Rasmala(2)
632,Samosa-Chole Chaat
633,Bhanta Ko Tarakari
634,Sauv Blanc Glass
635,Chili Fish Gravy
636,Spicy Uttappam
637,Virsa Bhindi Masala
638,Tava Pulao
639,Shrimp Peri Peri
640,Ginger Shrimp
641,Vegetable Xacutti
642,Methi Matar Malai
643,Kali Mirchi Tikka (10)
644,Deep Fried MOMO
645,Indo Chinese Egg & Chicken Fried Rice
646,Matar Paneer (Lunch)
647,Shrimp Biryani Small
648,Onion Uttappam
649,Andhra Style Tomato Dal
650,Alleppey Vegetable Curry
651,Rasmalai Small
652,Coriander Special Platter
653,Indian Style Chicken Wings
654,Curry Chicken (Boneless) Dinner With Rice
655,Coke Can
656,Mineral Water
657,Shrimp Patia
658,Mix MoMo (Fried)
659,Dinner For Two (Non-Veg)
660,Kashmiri Goat Curry
661,Cheese Pakora
662,Bhartha Dahiwala
663,EASTERN SHORE
664,Mixed Peas Salad
665,Gulab Jamun Medium
666,5. Beef Tikka Platter
667,Bullet Naan
668,Chicken Dopizza
669,BTL White Wine
670,Goat Vindaloo
671,Limca Can 10 Oz
672,Lamb MoMo (Steam)
673,Keema Saag (Lunch)
674,Vizag Special Fish (Chef's Special Whole Fish)
675,P.V. Tikka Masala
676,Goat Dum Biryani
677,Chicken Dhaniwal
678,Schezwan Noodle
679,Mango Fruit Juice
680,Paneer Shahensha
681,Karahi Lamb
682,Lunch Tofu Bhurji
683,2 Aloo Tikki
684,Bendi Pulusu (Okra Special)
685,Veg Platter
686,Chicken Butter Makhani
687,Mountain Dew (Bottle)
688,Kids Naan
689,Punjabi Kadhi Pakora
690,Curry Sauce
691,Tadka Dal
692,Shrimp Do Piaza
693,Vegetable Pakora (5 Pcs)
694,Paneer Tikka Masala 80z
695,Onion Bhaji
696,PAV BREAD BRUNCH
697,Mutton Hyderabadi Biryani
698,Veg Jalfrezi
699,Chx Tikka Dal
700,Mix-Veg Chettinad Curry
701,Mix Vegetable Curry
702,Shirley Temple
703,Korma Sauce 16 Oz
704,Kebab Sauce
705,Aloo Tikki (2 Pcs)
706,Paneer 65
707,VOLCANO CHICKEN
708,Dhaba Special Chicken Curry
709,Plain Yougurt
710,Aloo Chat Papri
711,Chocolate Cake
712,Catering Matar Paneer
713,Shrimp Curry Small
714,Chicken Makhani (Butter Chicken)
715,Tandoori Paneer Tikka
716,Indian Salad ( Small Tray )
717,"Kali Mirch Ke Tikkey ""Black Pepper Chicken"
718,Garlic Naan 2pc
719,Custom Item
720,Bombay Jungee Patato/Veg Sandwich
721,Jeera Sag
722,Onion & Chilli
723,Seafood Salmon Moilee - House Special
724,Chicken Coconut Naan
725,Mela Non Vegetarian Platter
726,Coke
727,Fennel
728,Veg Pakora
729,Onion Naan Bread
730,Avial Malabar
731,Madhurai Chicken Pakoda
732,LARGE SWEET POTATO FRY
733,Lamb Boti Kebab Masala
734,Catering Lamb Saag (Party)
735,Dahi-Papri Chaat
736,Exotic Tropical
737,Pav Bhaji With Toasted Roll
738,Baingan Dopyaza (V)
739,Chili Chicken (Appitizer)
740,Gift Card 20
741,Veggie Momo
742,Chicken Chana Masala
743,Nutella Dosa
744,Gajjar Halwa Trifle
745,Pappadum
746,Kothey Momos
747,Canned Soda
748,Tava Lachha Paratha
749,Saag Mushroom
750,Paneer Tikka Masala
751,Catering Tadoori Roti (Party)
752,Lamb Mushroom Curry
753,Momo Curry
754,Seekh Kabob
755,Malabari Parantha
756,Medley Curry
757,CHOCOLATE MOUSSE CAKE SLICE
758,Mix Pickle
759,Paneer Tikka Roll-Up
760,Lamb Chettinad
761,Chicken Seekh Kabab
762,Royal Dinner For 2
763,Chicken Sub
764,Mango Lassi 25
765,Paneer Tikka Dosa
766,Lamb Momo (50 Pieces)
767,Catering Goat Masala
768,VEGETABLE KABOB
769,Extra Sauce
770,Special Bhaji Pav
771,"CHILI, ONION & LEMON"
772,Tofu Mutter
773,DAAL MAKHANI
774,Aloo Tikka Chaat
775,Beef Shahjahani
776,Aloo Paratha With Yogurt
777,Shahi Bhindi Medium
778,Bhuna Lamb Small
779,Curry Leaf Chicken
780,Gajar Ka Halva (Carrot Cake)
781,Tofu Bhurji
782,Poori Bread Special (2)
783,ALOO PARATHA
784,Gilaffi Kebab (Seekh Kabab)
785,Shrimp Madras
786,Gulab Jamun (3 Pieces)
787,Combo Deal
788,Catering Beef Masala
789,Virsa Meat Samosa
790,PANEER PAKORA BRUNCH
791,Puri Bhaji(3)
792,Wings 65
793,Jeera Rice
794,32 Oz. Chicken Family Dish
795,Tilapia Fillet
796,Badami Kulfi
797,Peas Pulao
798,Shahi Rajma
799,Priya Kabob Sampler
800,Mushroom Chili
801,GARLIC NAN BRUNCH
802,Tandoori Roti Bread Special
803,Pani Puri
804,Chicken Makhani
805,Beef Hyderabadi
806,"""CRAZY"" CHANNA MASALA"
807,Kheema Naan (Non-Vegetarian)
808,Veg. Kofta
809,Tandori Naan
810,Lemon Rice
811,Ginger Lamb Curry
812,Tandori Mix Grill (APT)
813,Chicken Do Pyaza
814,Tawa Aloo Paratha
815,Haleem
816,Tawa Paratha (2 Pc ) ( Gluten )
817,Aloo Gobi( Vegan)
818,Tarka Daal
819,Achar
820,Veg Biryani
821,Aloo Tikki
822,Chicken Karahi Platter
823,Catering Tandoori Chicken (Party)
824,Tikka Masala
825,Hyderabadi Mirchi Ka Salan
826,Sambar Rice Veg.
827,Achaar
828,Aloo Parantha
829,Samosa Chat With Tea
830,Nirvana Vegetarian Dinner For 2
831,Steamed Rice
832,Tandoori Prawns (Shrimp Tandoor)
833,Shami Kahah
834,WHOOPIE PIE
835,Onion Kulcha LARGE
836,Mangalorean Veg
837,Fish Apollo
838,Seafood Timuri Masala
839,Royal Chicken
840,Zaffrani Rice
841,Malabari Paratha
842,Fish Chili
843,A. Chicken Platter
844,Margherita Pizza
845,SAMOSA BURGER
846,10. Tilapia Fish Platter
847,Novaratna Korma
848,Pork Fried Rice
849,Keema Aloo
850,Lamb Coconut Korma Curry
851,Malai Shrimp Kebab
852,MINI LEMON TART
853,Malai Shrimp Cocktail
854,Jhwo Soup Veg
855,Paneer Manchuria
856,Paneer And Vegetable Korma
857,Dry Paneer Chilli
858,ALOO NAAN
859,Ck Biryani MT
860,Sze Veg Fried Rice
861,Punjabi Tikka Kabab
862,Gongura Vankaya Koora (Gongura Eggplant Special)
863,Lamb Boti Kebab
864,Lamb Sekuwa
865,Super Meat Combo
866,Chicken Masala Momo
867,Mango Kulfi Ice Cream
868,Chilli Garlic Chicken
869,Shrimp Achari Tikka
870,Paneer Korma Meal
871,Sam Adams
872,Mint Chut.
873,Lamb Tikka Masala Medium
874,Vegetarian Hakka Noodles
875,Deep Fried Momos
876,IRANI CHAI
877,Onion Kulcha/naan
878,Naan Kati Roll
879,GUEST SIZE - (8)
880,SAN PELLEGRINO LEMON
881,Chicken Do-Pizza
882,BUTTER CHICKEN EXPERIENCE
883,Paper Plain Dosa
884,House Caesar Salad
885,Chicken Saag (Lunch)
886,Lamb Chops ( 5 Pieces )
887,Chicken Hyderabadi Biryani
888,Aloo Matar Large
889,Hara Goat
890,Punjabi Kadhi
891,Goat ( Large Tray)
892,Saag Paneer ( Small Tray )
893,Tadka Dal (V)
894,Hennesey
895,Seafood Salmon Moilee
896,Chicken Bhartha
897,Curry Bone Goat Dinner With Rice
898,Malabari Paratha (2 Pieces)
899,Veg Cutlet
900,Curry Boneless Chicken (8oz)
901,Tandoori Fish Or Shrimp
902,Grilled Lamb Barra Kebab
903,Paneer Dosa
904,Dahi Vada Chat
905,Aloo Pratha
906,PANEER TIKKA MASALA LUNCH
907,Gulab Jamans
908,Rogan Josh
909,Lamb Saffron
910,Chilli Plate
911,Chicken Chole Korma Masala
912,64. Chocolate Cake
913,Chiligobi
914,Uttapam - With Barbecued Lamb
915,Vegtable MoMo (Steam)
916,Beef/Lamb/Goat Roganjash
917,Malai Kulfi Shake
918,Pepper Idli Fry
919,Palak Paneer (Lunch)
920,Dal Tadka
921,Special Masala Chah
922,Basmati Rice ( Large )
923,Vegetables Spring Roll
924,Veggie MoMo (Fried)
925,Meat Samosa (2Piece)
926,Idly & Vada
927,Combination Dinner For Two
928,65. Carrot Cake
929,Shrimp Sag
930,Seafood Saag
931,Mixed Vegetable Curry
932,Catering Dal Makhani
933,Onion Kulcha
934,Chicken Malai Kebab ( Small Tray )
935,Egg Triple Schezuan Rice And Noodles
936,Bombay Tawa Pulao
937,Lamb ( Small Tray )
938,Papadum
939,Garlic Naan ( 10 Pc )
940,Goat Coconut (With Bone)
941,Crispy Masala Okra
942,Chicken Sabji
943,NON VEG SOUP OF THE DAY
944,Pashwari Nan
945,Badam Ice Cream
946,Cone / Topi Dosa
947,Potato Chili (Vegan)
948,GAJJAR HALWA LUNCH
949,VEGETABLE PAKODA
950,Bone-In Goat Curry
951,New Road Style- C MO:MO
952,Mozzarella Sticks (8pcs)
953,Vegetarian Thali
954,Veg Samosa
955,Cold Madras Coffee
956,KURKURE AAM PALAK CHAAT
957,26. Falafel
958,Korma Sauce 32 Oz
959,Fried Rice Veg/Egg/Chicken/Shrimp
960,Tandoori Whole Natukodi (DOA)
961,LARGE FRY
962,Red Sangria (Glass)
963,Coconut Soup (Lunch)
964,Chicken Curry Medium
965,Gobhi Matar Small
966,Beef/Lamb/Goat Mushroom
967,Butter Chicken Medium
968,Pulav Tray Full
969,Mini Dosa
970,1947 Combo (2-Idli & 1-Vada)
971,Goat Do.pazza
972,Hydrebadi Baingan Aur Mirch Ka Salan
973,Karam Podi Uttappam
974,Madras Fish Curry
975,Chicken Biryani Medium
976,Chilli Shrimp
977,Christian Brothers
978,Egg Vepudu
979,Popcorn Chicken
980,Diet Pepsi (Bottle)
981,Saag Shrimp
982,Lamb Samosa(2 Pcs)
983,Khaman Dhokla 350gm
984,Malai Chicken Tikka
985,Lamb Shaag
986,Buthura
987,Assorted Appetizer
988,Beef/Lamb/Goat Chilli
989,Egg Boiled Fry
990,Badami Kulfi Small
991,Side Chicken Jalfrezi
992,Tea Chai
993,Khoya Kaju
994,Salmon Tikka
995,Maaki Di Roti & Saag
996,Chicken 65 Medium
997,Paneer Butter Masala
998,Chicken MoMo (Steam)
999,Kashmiri Goat Korma
1000,VEG SOUP OF THE DAY
1001,Thumsup
1002,Fish Masala (Lunch)
1003,Catering Chicken Pakora
1004,Fish Fry
